playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines,151,22xdaowxpkmw276xweileyeka,Supremo Prince,1309
1QP6zr3vQHpaynUItCBc96,Acoustic Philippines,26,4msolzr4gkdomi86yylsyvajv,NiceBaliong,153
4rcDjBqSVEeFTfFXwJzEAW,Acoustic Hits Philippines 2020,53,jyhra99st5nhex8kfo4um2dh7,buntala,122
4R4EM1Du6tY2OgQFlNX7Fl,Mexicali Philippines,195,chiqui.mabanta,Chiqui Sy-Quia Mabanta,43
05fsD3vb7zvBRX42Mkt7ye,Pinoy Acoustic,104,33acxk93ngdwmax3m5wrd0k1b,Spotify,31
0RzgbYyq7YLdvH1uK6pOhz,Folk Pop Philippines 2020🌴,59,jyhra99st5nhex8kfo4um2dh7,buntala,28
0zxOfnGqu8LK9UC9SyUPbO,Top Acoustic philippines,15,qqk1jj2lm2o4tu57mdv1def3y,Bosski,22
6BVyav6bQG6tOZQyAM2q33,Country Songs Philippines 2020 🏡,47,jyhra99st5nhex8kfo4um2dh7,buntala,18
52c33ddwwHgpwbRLHqpX2C,Acoustic Philippines 2020,20,9c8w2xtq9aim3vuecou085mwe,merl,7
33OqbKQd8AGNhDnOoLcCli,PINOY ACOUSTIC,100,xecxyij55mozhl87xpv93icw4,EarBender Music,5
4fwDZs2SwC8EeAHuezMHMm,Philippines Acoustic,58,4tojsibs6kzsfx8mmotfamzxr,4tojsibs6kzsfx8mmotfamzxr,3
