track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
62WcCjrcvRvRCixFFUPFbl,Love Me Instead,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4aTjEtidxvtjqo7SQqSCky,208773,2014-08-28,34,0.639,0.399,5,-7.351,1,0.062,0.32,0.0,0.16,0.651,169.68,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3gkwEytdCYIsrFdfEE2ALW,Mahika,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,7EtszOFGwCmg899C88aPTE,208579,2017-06-17,41,0.545,0.49,1,-6.924,1,0.0289,0.557,7.69e-05,0.127,0.372,139.981,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3ynDXi01YTsb9WrIDCK9oJ,Let Me Be the One,4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,1g0VTTNNbF8nciniPyQtJg,280400,2013-08-06,50,0.589,0.399,10,-8.671,1,0.0393,0.686,0.0,0.107,0.175,123.856,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0f246J1ZM5VQbsE1RoH9c5,Marco's Theme - Saglit,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,7nq50QkmJkGdzOMnk1vvWG,261441,2017-08-04,32,0.354,0.102,7,-15.314,1,0.0399,0.947,4.53e-05,0.144,0.379,85.672,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0zFYa7NIpKhmom8zrZx7Ga,Why Can't It Be,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,77ZkVwowfs27AEXl6GHiET,248760,2017-03-17,58,0.563,0.314,3,-9.241,1,0.0312,0.612,1.14e-05,0.124,0.272,127.791,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3S7jYMh9WQdBKNlTDKAQ02,If You Tell Me You Love Me,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4aTjEtidxvtjqo7SQqSCky,247733,2014-08-28,42,0.393,0.415,4,-6.4,1,0.0301,0.637,0.0,0.0983,0.228,135.446,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0s94Uvqb2VpofYHa5ia5TW,Scared to Death,1mcqfNCReSFxun2vIWvC28,KZ Tandingan,6AjCc2sKifkw8IKxB8o5yQ,231866,2013-01-01,50,0.286,0.542,2,-5.752,1,0.0375,0.327,0.000347,0.102,0.228,151.877,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
1KKIsW5U8V85UNIadfjbWb,Tuwing Umuulan,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,5H9mWyVNAiMdDPDuzD62vu,275027,2015-10-13,45,0.545,0.374,5,-9.689,1,0.0305,0.716,0.0,0.124,0.287,141.155,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
5U6VSDY2rcSnL8jgrlZtqg,Happily Ever After,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4aTjEtidxvtjqo7SQqSCky,270853,2014-08-28,41,0.465,0.336,4,-9.95,0,0.0372,0.78,0.0,0.0921,0.131,74.002,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
46ixegtxjERQMCutmp09Sa,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",1mcqfNCReSFxun2vIWvC28,KZ Tandingan,3aOj64v2njmsuCiIZmoN7X,280109,2017-07-14,1,0.37,0.434,6,-5.935,1,0.0311,0.774,1.58e-06,0.0993,0.201,139.839,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
