playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DX4olOMiqFeqU,OPM Favorites,50,spotify,Spotify,1991427
37i9dQZF1DX7Jerj8LqApV,OPM Says Chillax,40,spotify,Spotify,1163607
37i9dQZF1DWXwcRDYKpcpF,Acoustically OPM,40,spotify,Spotify,567471
37i9dQZF1DWT4GbvSrNWS6,OPM: Hits of the '00s,40,spotify,Spotify,234126
37i9dQZF1DXbuvqGDV5qgQ,Women of OPM,70,spotify,Spotify,182202
37i9dQZF1DX53n2vsU9kOm,OPM: Hits of the '90s,35,spotify,Spotify,158716
37i9dQZF1DWZKNkQDWII13,Men of OPM,60,spotify,Spotify,155358
37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,140,spotify,Spotify,146618
46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90's - 00's,348,12141413785,Jerome Afable,134098
37i9dQZF1DWXjlWxUbm84A,Top OPM Artists of 2018,30,spotify,Spotify,132299
