track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
0ri0Han4IRJhzvERHOZTMr,At My Worst,77,170344,1W7FNibLa0O0b572tB2w7t,Pink Sweat$,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0u5FYJWJLcLzSN9S1Wb2ag,Lovesick Girls,84,192765,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
4lsHZ92XCFOQfzJFBTluk8,You Got It,86,201586,3wVXTWabe3viT0jF7DfjOL,Vedo,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),94,212093,"['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']","['Justin Bieber', 'Chance the Rapper']",2,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0iw0EuzmMKMYvZuQYW8DBA,Beautiful Scars,17,194757,2Q9c6ETFOkDDTy53U7DIgr,Maximillian,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
4ja2gzrNh9VNigzoXfmbwD,Mariposa,84,210000,0imE3buPhAowREqCrr4CYe,Peach Tree Rascals,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
1pi3VCMlGVaXvrjlVOkBPN,KLWKN,74,256572,52gTrzyF0DyfkFl1DQz9Oq,Music Hero,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0knRQzgvbUed6K74mX81hG,Kabilang Buhay,72,325024,4slXciON4jYY6mqE9LjSFx,Bandang Lapis,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
2ccNaerby1wXA993dY6XsR,if this is the last time,75,203842,49tQo2QULno7gxHutgccqF,LANY,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,88,136838,3QJUFtGBGL05vo0kCJZsmT,salem ilese,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0v1x6rN6JHRapa03JElljE,Dynamite,81,199053,3Nrfpe0tUJi4K4DXYWgMUX,BTS,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
2k0e6dy1tx7fE6m126Ydfw,Ice Cream (with Selena Gomez),68,175813,"['41MozSoPIsD1dJM0CLPjZF', '0C8ZW7ezQVs4URX5aX7Kqx']","['BLACKPINK', 'Selena Gomez']",2,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
4lSMKPkbZOAYPw3zxJ2eAF,you!,74,274013,49tQo2QULno7gxHutgccqF,LANY,1,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
