track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0ri0Han4IRJhzvERHOZTMr,At My Worst,1W7FNibLa0O0b572tB2w7t,Pink Sweat$,3Qj2vsFzmaB8jcH6Q60WIG,170344,2020-07-17,77,0.813,0.415,0,-5.926,1,0.0349,0.777,0.0,0.131,0.667,91.921,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0u5FYJWJLcLzSN9S1Wb2ag,Lovesick Girls,41MozSoPIsD1dJM0CLPjZF,BLACKPINK,4DrS5uqr2LBqfTF5nsRtyT,192765,2020-10-02,84,0.658,0.732,6,-4.762,1,0.0654,0.00513,0.0,0.13,0.409,127.995,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
4lsHZ92XCFOQfzJFBTluk8,You Got It,3wVXTWabe3viT0jF7DfjOL,Vedo,4LxNdEodxvcd7q41asR17h,201586,2020-03-27,86,0.774,0.376,5,-9.372,1,0.208,0.297,0.0,0.165,0.391,122.089,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
5u1n1kITHCxxp8twBcZxWy,Holy (feat. Chance The Rapper),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,4hR7jjsPvRwwcHx8ntJSQS,212093,2020-09-18,94,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0iw0EuzmMKMYvZuQYW8DBA,Beautiful Scars,2Q9c6ETFOkDDTy53U7DIgr,Maximillian,7BlA5zKQZfCcyUIe7lfdSs,194757,2019-02-22,17,0.7,0.457,7,-8.667,1,0.0621,0.369,0.0,0.106,0.433,144.905,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
4ja2gzrNh9VNigzoXfmbwD,Mariposa,0imE3buPhAowREqCrr4CYe,Peach Tree Rascals,0vpGo2ef7QNOKQHtd7qZeh,210000,2019-08-28,84,0.676,0.525,9,-5.88,1,0.028,0.617,0.0,0.356,0.421,112.011,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
1pi3VCMlGVaXvrjlVOkBPN,KLWKN,52gTrzyF0DyfkFl1DQz9Oq,Music Hero,1TmGJJPRkYoxPEAo0xFnQV,256572,2019-01-31,74,0.493,0.394,2,-6.997,1,0.0366,0.575,0.0,0.267,0.375,152.03,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0knRQzgvbUed6K74mX81hG,Kabilang Buhay,4slXciON4jYY6mqE9LjSFx,Bandang Lapis,1bXVfDuQen1YkHWKudAi2c,325024,2020-03-20,72,0.389,0.352,1,-14.428,0,0.0301,0.251,5.4e-06,0.197,0.203,139.647,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
2ccNaerby1wXA993dY6XsR,if this is the last time,49tQo2QULno7gxHutgccqF,LANY,3G2RelPzbgYpjSIsi0YS0J,203842,2020-07-01,75,0.565,0.586,11,-7.726,1,0.0363,0.0175,0.0,0.204,0.43,147.986,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,3QJUFtGBGL05vo0kCJZsmT,salem ilese,1xWYSg7J7pxTZ113CJVy1P,136838,2020-07-24,88,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39e-06,0.692,0.715,113.968,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0v1x6rN6JHRapa03JElljE,Dynamite,3Nrfpe0tUJi4K4DXYWgMUX,BTS,3zWmE5c3alhuoPLphxjMVd,199053,2020-08-21,81,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
2k0e6dy1tx7fE6m126Ydfw,Ice Cream (with Selena Gomez),41MozSoPIsD1dJM0CLPjZF,BLACKPINK,7nZPZCnwS90jrRjGNjzv4D,175813,2020-08-28,68,0.791,0.733,9,-3.852,1,0.35,0.0305,0.000169,0.0423,0.913,159.974,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
4lSMKPkbZOAYPw3zxJ2eAF,you!,49tQo2QULno7gxHutgccqF,LANY,5Ob72SRWEGd36eRlASw6k2,274013,2020-08-14,74,0.5,0.635,10,-7.53,1,0.0253,0.00648,0.00508,0.126,0.276,94.0,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
1IIKrJVP1C9N7iPtG6eOsK,Go Crazy,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,7fZKtzZAsfH0kzeTivu5TG,176960,2020-05-08,91,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),4kYSro6naA4h99UJvo89HB,Cardi B,2ogiazbrNEx0kQHGl5ZBTQ,187541,2020-08-07,98,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
3R6Hl2e7hAyCfofRRToKAo,Malayo Ka Man,3r0NbTTxtCBUyxcIR4prXr,Jr Crown,4B3cUBkyz5jDoFzL1Lo7N2,254139,2020-03-11,73,0.87,0.597,1,-8.339,1,0.0613,0.18,0.0,0.0902,0.56,103.019,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
6r7sdXUiKjgEx3I8GQRpSq,Chinita Girl,7Dhd8nNMvFdye1R3Y8wE6C,Lil Vinceyy,6VkTR76jTbFqzZ7xiuvaBs,238859,2020-03-06,72,0.702,0.49,1,-6.828,1,0.213,0.0618,0.0,0.076,0.59,103.021,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
1x8pFCRfBnDqckyB6mlZci,Titig,7dxr6AabRWhsfYRyVJlErK,MC Einstein,4tk561oaKN5jhKhu8XuP1W,259114,2019-12-15,70,0.797,0.447,8,-8.452,1,0.28,0.146,0.0,0.0877,0.645,79.003,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
47UUjZbqZjcrzELnFBB1Ht,Teka Lang,3FwNjtXQCdxpDOXmgJQGnG,Emman,0rceew9Oyt5S1NCUaou2Zm,196582,2020-03-25,75,0.586,0.169,2,-15.515,1,0.0324,0.76,0.0,0.0909,0.197,87.003,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
0yRXPoZx4gkGUYDqNwEGOM,Marikit,6kyw9sh7ryjy1GQdPYH3Yd,Juan Caoile,0GzYowLMSHYRj0rP6fBXGF,263333,2020-05-21,30,0.806,0.594,11,-7.671,1,0.0748,0.577,0.0,0.098,0.787,143.016,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
2YreeV0asmC6tgM4IH2g5F,Pangga,1SrWbIDP84JcSDr0oTBAQw,Matthaios,6HKEH0dCMQ3Bc7sX13bR5d,195186,2020-05-10,70,0.765,0.437,9,-12.63,1,0.073,0.861,0.0,0.113,0.535,150.041,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
74jVIbukOhR0Am7YXKiJMM,Nakikinig Ka Ba Sa Akin,4DAcJXcjX0zlQAZAPAx4Zb,Ben&Ben,7gUQFe3Hx5cf8tWZ8XpWy5,260638,2020-07-01,69,0.448,0.51,0,-8.046,1,0.0289,0.694,0.0,0.188,0.325,155.88,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
4xqrdfXkTW4T0RauPLv3WA,Heather,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,2CMlkzFI2oDAy5MbyV7OV5,198040,2020-03-20,94,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
6UelLqGlWMcVH1E5c4H7lY,Watermelon Sugar,6KImCVD70vtIoJWnq6nGn3,Harry Styles,7xV2TzoaVc0ycW7fwBwAml,174000,2019-12-13,95,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
50wetCP0Nsx5sIaFHCYlCe,Love Somebody,5JZ7CnR6gTvEMKX4g70Amv,Lauv,3UqBoqEP6JTeAGdrAQdEHD,142773,2020-06-24,50,0.465,0.468,7,-7.799,1,0.134,0.262,0.0,0.0639,0.373,83.366,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
364dI1bYnvamSnBJ8JcNzN,Intentions,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,55zg331p7m1EFA4uRggkwt,212868,2020-02-07,84,0.811,0.553,9,-6.644,1,0.0552,0.317,0.0,0.105,0.86,148.014,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
2IY537C2ecmUMJ46bYQggp,heart won't let me,49tQo2QULno7gxHutgccqF,LANY,6tmSIFaEjxAtuYwPq9FaFP,199506,2020-10-02,74,0.607,0.655,0,-8.055,1,0.0341,0.261,0.0,0.114,0.255,136.028,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
3kwgqoBqTwoAH4nT29TYrq,Nobody's Love,04gDigrS5kc9YWfZHwBETP,Maroon 5,2cDt5R89HP8ZCXhNAmZs27,211253,2020-07-24,84,0.486,0.567,1,-6.456,1,0.0379,0.31,0.0,0.0949,0.154,93.68,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
13pv5UWJttg8NNplCaaOYh,Binibini,1SrWbIDP84JcSDr0oTBAQw,Matthaios,5vBydjf2nb8fTPij4rYb2D,137717,2020-03-18,70,0.851,0.352,0,-12.376,0,0.0749,0.737,0.0,0.121,0.536,115.028,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
44jJiCwGdnqqCkgqlvCIdp,Miloves (Otw Sayo),71hhKLR9oCOsHLdRIoQ5OU,King Badger,2Cn8NCS7dAmLMNat4xBL1R,242844,2020-03-09,70,0.766,0.514,11,-10.573,1,0.101,0.239,8.15e-06,0.0879,0.682,136.027,37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines
