playlist_id,playlist_name,playlist_total_tracks,owner_id,owner_name,total_followers
0kUz7i0hA5JxYcm549GhW5,OPM Band Hits,174,ferwisho,ferwisho,6569
4tXRnatpfJNDvGBGwbpsFj,Banda Rito,61,filtrph,Filtr Philippines,4154
2UzeQfkOhFcSVCpJ162j8T,OPM Bands 90's - 00's,348,hagustasbwuguizht41knv0d1,Sora Music Group,2050
4y6ntAPhL00ABgVWYlk0c4,Philippines Viral 50,95,fnvl4m2ls9b3gzyph10yht31z,Viral Charts,1821
2mE8jHgiGQFL0dvY4dBwX0,Pinoy Bands OPM (tbt),178,arviquioc,Arvi Quioc,1672
2LtI6JXQUcfrGS8QUj6D7w,Philippine Band Songs 🎸✨,395,225sdbbkd3kunxh55ylql3gqi,Joshua Lopez,677
59xseB4DveSBb4vN7A5Ijm,90's bands in Philippines,106,kentperumz,kentperumz,630
2fghw0YDYjh7rU889GmzB1,OPM Pinoy Bands,96,jzie.verches,Juan Carlos Verches,338
2yTYhOSAUxXMd216jqPSYa,Indie Filipino Bands & Artists - Filipino Heritage Month,141,1260299844,Conrad Merced,246
4O2wh97M2VDpU6GBRPC7lo,OPM Bands of the 2000s,50,12185658292,Aron Osal,176
1XANyqkChszMuuTpWTgm72,"Banda Dito, Banda Doon",113,saj4u,saj4u,123
2uFvb3wMlMVpoEzyrwYHSu,NUMINOUS Philippines,24,01bn6nfvoce8mhd6xlrig20cw,NUMINOUS Philippines,60
6CJCLjU8iATHj4I9bFtFyT,Philippine Marching Band,25,12139122078,Noel S. Constantino,47
5gdv0qqTZKimOf8WtZaHdu,Indie Bands Philippines,109,12136524437,Enzo Oanes Caparas,39
5sI2IDa4tR1aOGKUL8T3aF,CUESHE SONGS (PINOY POP BAND),23,q7ql2fmihuunfxut6z0jpya43,KuyaDexPH,28
0njsr6K7rJ658tOPIZUZIp,OPM: Bands,21,alfred_tabinas,Alfredale Tabinas,27
6CqNGvCpMDTM0PqbJ8tlJw,Philippines Rock bands,41,sedricku,sedricku,16
5weqz2SrMyghcnZnUHmgvl,philippine marching band,14,12152299799,Doc Jess Albeus,10
6KTQVYPTCzc18T3Yo9ndNR,Philippines Hard Rock/Metal,13,diong1104,Diong De Leon,9
4siWOTIOcymuLfeMXeek4V,Oldschool Philippine Bands,155,marijune.lina,Mj Lina Tiamzon,7
0SNZyuc8kSRQ7S7IMNjlck,Banda Rito! Banda 'Roon!,108,92qajjly3vjdhhy9wbixeuppt,ielshobie&cassie,4
0JsMckM9Zh0pQdEijVu8xl,2000 Foreign Bands that Hit Philippines,40,21bgyvf47mr3ldg7hmyseenwq,Raymil Cupla Arao,4
0vufi7DkdNTQ643phYH13Z,Philippine rock band love songs,20,janetgomez2001,janetgomez2001,4
0oa17ZNFwSn5g36CEZrkeH,Boy Band Philippines,47,xpfrke3bx214l8b8by45kbw0s,Marvin,2
3c8XkuzoN4nQERURHnO91v,Philippine Bands 2000's,21,aeris_letisha,aeris_letisha,2
18TsUG9ryi1djo5fS4qHD5,"Tacos with soul at Bandito Cantina, Philippines",84,dougirwinph,dougirwinph,1
4SZuTAAILEBRA8gZ3h54KX,The Ultimate Pinoy Bands of the 90s,208,12144931989,Michael Ancheta Legaspi,1
0tDTfr2nQKqCTYICMLXnvi,Philippine Band ,171,1226807047,Warren Gante,0
0cJuixo3GkkLH4zjaINnoA,Philippine Bands - New Gen.,30,jayangelo.ortega,Jay Angelo,0
