track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
1jImST6hhs1EV45p78RBpM,Stay,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,235706,2005-06-09,58,0.306,0.494,9,-7.748,1,0.0287,0.0211,0.0,0.0972,0.161,157.224,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
49pOQUAKwPvjUqQxrZTKfq,Pasensya Na,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,0aesFsBOaeljPfH76CsrN1,223986,2006-08-16,47,0.621,0.651,11,-6.78,1,0.0315,0.00503,0.0,0.106,0.71,79.992,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
6s97fltVQXax4ZFkZJdGdP,Ulan,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,309066,2005-06-09,54,0.235,0.519,11,-5.691,1,0.0341,0.588,0.0,0.118,0.0909,171.38,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
6eYuYqJ9IqYWbH8rFhm7jC,Can't Let You Go,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,289733,2005-06-09,52,0.627,0.445,2,-6.683,1,0.0242,0.564,6.46e-06,0.0596,0.355,91.999,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
2naBC3Io7lDTYZEUHu34Or,Back To Me,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,0aesFsBOaeljPfH76CsrN1,264466,2006-08-16,51,0.555,0.467,4,-6.811,1,0.028,0.108,0.0,0.089,0.148,81.064,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
36TmbWEYoNKtAk91ch8aY7,Sorry,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2BfekCfAeHJHeIEMWXsoXH,282280,2005-06-09,47,0.314,0.611,4,-7.088,1,0.0268,0.238,0.0,0.265,0.437,167.354,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
4rmxojAE3CI7vuIvKVBCkT,Borrowed Time,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,0aesFsBOaeljPfH76CsrN1,249626,2006-08-16,60,0.492,0.66,4,-6.287,1,0.0262,0.00434,0.0,0.126,0.176,84.068,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
4ztvNcm17Ol4yhhUElRIBs,Pangako,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2G4Y1Yd6o4Y4owkzUpYnYO,216026,2010-09-17,48,0.525,0.72,5,-6.387,1,0.0356,0.00063,0.00182,0.283,0.521,119.964,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
0IcfBtS3auRsjxErGNr0Zi,BMD,6Xx1uQPrAF37dtVMKEmvx5,Cueshé,2sdEdfI5mm6Q3SkMeuCHwS,252560,2008-07-14,35,0.38,0.539,11,-5.787,1,0.0298,0.00546,0.000824,0.134,0.181,173.974,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
2S80c51YXgJQhkhX603fMA,Prinsesa,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1Im5BTDBghgM0NG75SaiC3,267293,2007-01-15,57,0.853,0.455,1,-9.625,1,0.0371,0.304,0.00317,0.125,0.511,118.32,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
1JC4niMbshPlor1BPagn2L,Upside Down,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,1Im5BTDBghgM0NG75SaiC3,324693,2007-01-15,58,0.582,0.492,3,-7.448,1,0.0248,0.582,1.48e-06,0.137,0.429,76.255,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
0oSpCoA0I9wg2UAKT4XGTX,Sandalan,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,0YydJV3mc5KkCZhqnSvzjO,236106,2005-10-17,57,0.484,0.84,1,-5.509,1,0.0315,0.104,0.0,0.114,0.783,139.952,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
6urc3cyjdF95Ip04L0rDDE,Sige,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,4JfQfFmSQgbEOscuEdh2QB,313613,2003-11-18,51,0.378,0.749,0,-4.465,1,0.0458,0.174,0.0,0.123,0.521,160.61,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
2RtdtmEvssq6bEJQtuJabt,Biglaan,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,4JfQfFmSQgbEOscuEdh2QB,286853,2003-11-18,46,0.322,0.677,7,-5.136,1,0.0339,0.156,1.5e-05,0.113,0.199,107.976,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
4QbJjJiHz3p3dYK2HwXqLP,I,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,0YydJV3mc5KkCZhqnSvzjO,252680,2005-10-17,48,0.499,0.479,1,-6.413,1,0.0264,0.161,2.09e-05,0.0608,0.132,75.302,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
3AKoBujwvY5WmHQNrSybXg,Aaminin,3nZa8vRD64ueq3d0JNYTsl,6cyclemind,30GBrCLKbMN41hyyRsAzF6,260120,2007-11-15,37,0.582,0.402,1,-10.1,1,0.0243,0.165,0.000304,0.14,0.522,92.058,0kUz7i0hA5JxYcm549GhW5,OPM Band Hits
